query,intent
I am looking for the airport lounge,lounge
Where is the lounge entrance?,lounge
Is the lounge past security?,lounge
Where is the international lounge?,lounge
Which direction is the airport lounge?,lounge
Where is the restaurant?,restaurant
Where can I get something to eat?,restaurant
Is there a cafe near here?,restaurant
Where are the food outlets?,restaurant
How do I find the dining area?,restaurant
Where is the nearest coffee shop?,restaurant
Which floor has restaurants?,restaurant
Is there a food court in this terminal?,restaurant
Where can I grab a quick meal?,restaurant
Where is McDonald's in the airport?,restaurant
Where is the nearest cafe?,restaurant
How do I find somewhere to eat?,restaurant
Where are the airport restaurants?,restaurant
Is there a restaurant after security?,restaurant
Where can I get breakfast in the airport?,restaurant
Which way is the food court?,restaurant
Where is the bar in the terminal?,restaurant
I am hungry where can I eat?,restaurant
Where is the nearest fast food?,restaurant
Is there a Starbucks in this terminal?,restaurant
Where can I get a hot drink?,restaurant
Where are the airside restaurants?,restaurant
Where is the airport food hall?,restaurant
How do I find a restaurant before my flight?,restaurant
Where can I buy food in the airport?,restaurant
Where is the restroom?,restroom
Where are the toilets?,restroom
How do I find the bathroom?,restroom
Where is the nearest WC?,restroom
Which way is the washroom?,restroom
Is there a toilet near gate B?,restroom
Where are the public restrooms?,restroom
I need to find the bathroom urgently,restroom
Where is the nearest toilet?,restroom
Are there toilets on this floor?,restroom
Where is the ladies bathroom?,restroom
Where is the gents toilet?,restroom
How do I find the accessible toilet?,restroom
Where are the restrooms in terminal 2?,restroom
Is there a toilet near security?,restroom
Where can I find the bathroom in the departure area?,restroom
Which direction are the restrooms?,restroom
Where are the toilets after passport control?,restroom
I need the bathroom where is it?,restroom
Where is the nearest restroom to gate C?,restroom
Are there toilets near the lounge?,restroom
Where is the family restroom?,restroom
How do I get to the airport bathroom?,restroom
Where are the facilities in this terminal?,restroom
Is there a restroom near the check-in area?,restroom
